date,team1,score1,team2,score2,forfeit,overtime
2026-09-08,Ozark,,Branson,,False,False
2026-09-08,Valley Park,,Brentwood,,False,False
2026-09-08,Christian Fellowship Sr. with Hallsville,,Calvary Lutheran,,False,False
2026-09-08,Lone Jack,,Cameron,,False,False
2026-09-08,Camdenton,,Capital City,,False,False
2026-09-08,Grandview,,Center,,False,False
2026-09-08,St. Paul Lutheran (Concordia),,Clinton,,False,False
2026-09-08,Sikeston,,DeSoto,,False,False
2026-09-08,Wright City,,Duchesne,,False,False
2026-09-08,Paseo Academy,,East (Kansas City),,False,False
2026-09-08,Missouri Military Academy,,Eugene,,False,False
2026-09-08,Seckman,,Eureka,,False,False
2026-09-08,Sacred Heart,,Father Tolton,,False,False
2026-09-08,Crocker,,Fatima,,False,False
2026-09-08,Hillsboro,,Festus,,False,False
2026-09-08,North Kansas City,,Fort Osage,,False,False
2026-09-08,Parkway Central,,Ft. Zumwalt East,,False,False
2026-09-08,North Point,,Ft. Zumwalt North,,False,False
2026-09-08,Maplewood-Richmond Hts.,,Hancock,,False,False
2026-09-08,Ft. Zumwalt South,,Hannibal,,False,False
2026-09-08,St. Pius X (Kansas City),,Harrisonville,,False,False
2026-09-08,Helias Catholic,,Hickman,,False,False
2026-09-08,McDonald County,,Hillcrest,,False,False
2026-09-08,Winfield,,Holt,,False,False
2026-09-08,Smithton,,Iberia,,False,False
2026-09-08,Fox,,Jackson,,False,False
2026-09-08,Smith-Cotton,,Jefferson City,,False,False
2026-09-08,STEAM Academy,,Jennings,,False,False
2026-09-08,Lutheran South,,John Burroughs,,False,False
2026-09-08,Monett,,Joplin,,False,False
2026-09-08,Barstow,,Kearney,,False,False
2026-09-08,Dexter,,Kennett,,False,False
2026-09-08,Vianney,,Kirkwood,,False,False
2026-09-08,Christian Brothers College,,Ladue Horton Watkins,,False,False
2026-09-08,Dixon,,Laquey with Richland,,False,False
2026-09-08,New Covenant Academy,,Lebanon,,False,False
2026-09-08,Park Hill,,Lee's Summit West,,False,False
2026-09-08,Ft. Zumwalt West,,Liberty (Wentzville),,False,False
2026-09-08,Northland Christian,,Lutheran (Kansas City),,False,False
